JOB_REQUISITION,WORKER_SUB_TYPE,DAYS_OPEN,PRIMARY_LOCATION,JOB_PROFILE,MANAGEMENT_LEVEL_JOB_REQUISITION,NUMBER_OF_OPENINGS_AVAILABLE,JOB_DESCRIPTION,JOB_PROFILE_SUMMARY
"Director, Security Operations & Resilience (Open)",Regular,236 days ago,US,Director IT,Business Leader,1,"PRIMARY DUTIES AND RESPONSIBILITIES: Directs business/function(s) activities in support of Company operations. Directs staff through subordinate management, establishing objectives and evaluating performance. Develops team with strong management and professional competencies to support business. Directs development of budget, policies and procedures. Directs development of overall business/function direction and strategy. Ensures plans are developed and budgets are in place to provide adequate staffing and resources to execute strategy. Achieves financial objectives, including revenue, expenses, gross margins, operating expenses and earnings as applicable, within framework of overall corporate objectives. Builds strong business relationships with leaders in related departments and throughout the Company to provide for smooth work coordination to accomplish objectives. Aligns and integrates cross-functional teams and provides for cross-organization and cross-functional communication, processes and system improvements. Leads directly and indirectly through a matrix-type organization. Leads smooth integration of corporate standards with department processes and procedures as applicable. Ensures adequate technology and systems resources are budgeted for and available to support the business. Participates personally in meeting with largest/key customers/vendors to maintain strong business relationships. Takes action to ensure a quality internal/external customer experience as needed. Prepares reports, presentations and other information summarizing business activities and providing strategic direction. Maintains knowledge of changes and developments in the industry affecting business activities. May participate in related outside industry groups and forums. EDUCATION: Bachelors degree or equivalent combination of education and experience required. Masters degree or equivalent preferred. REQUIRED SKILLS AND ABILITIES: Proven leadership skills and ability with diverse groups of people. Strategic thinking and planning ability to develop and execute business strategy. Strong leadership achievement record. In-depth experience with the operations, products and services in the businesses managed. Ability to work in a collaborative manner across multiple business units. Organizational, people development, performance management and change management skills. Integrity, authenticity, respect, and confidentiality. Drive, initiative and breakthrough thinking ability. Reasoning and analytical skills to resolve issues. Communication skills, both verbal and written. Personal computer skills, including Microsoft Office. PHYSICAL DEMANDS: Extensive sitting, phone and computer use. Some travel required. WORK ENVIRONMENT: General office environment or light industrial. Normal office noise level, with occasional moderate noise. LEVELING GUIDE: Directs and controls the activities of a broad business/functional area, division, product group or service area through several department Managers/Sr Managers. Develops guidelines, processes, and procedures for assigned discipline/function/area/ region/country. Works on complex issues where analysis of situations or data requires an in-depth knowledge of the Company. Participates in corporate development of methods, techniques and evaluation criteria for projects, programs, and people. Ensures budgets and schedules meet corporate requirements. Has overall control of planning, staffing, budgeting, managing expense priorities, and recommending and implementing changes to methods. Participates with other senior leaders to establish strategic plans and objectives. Makes strategic decisions based on Company goals and objectives. Makes final decisions on administrative or operational matters and ensures effective achievement of objectives. Typically has multi-country or global responsibilities. Assists Executives in defining organizational goals and strategic plans. Failure to achieve goals will have critical impact on success of functional area and organization. Erroneous decisions will have a serious impact on the overall success of functional, division, or Company operations. Makes strategic decisions based on company goals and objectives. Regularly interacts with executives and/or major internal/external customers. Interactions frequently involve special skills, such as negotiating with customers or management or influencing senior level leaders regarding matters of significance to the organization.","Directs business/function(s) activities in support of Company operations. Directs staff through subordinate management, assigning objectives and evaluating results. Directs development of budget, operating policies and procedures. Directs development of overall business/function(s) strategy and direction."
Employment Counsel (Open),Regular,85 days ago,US,Corporate Counsel,Expert Contributor,1,"PRIMARY DUTIES AND RESPONSIBILITIES: Performs wide range of legal activities to support the growth, operation and development of the Company. Provides legal advice and counsel to legal and business team members.  Develops understanding of Company’s business operations and ongoing related legal issues in order to proactively identify and mitigate legal risks.  Works with business and technical teams on a day-to-day basis to identify, analyze and propose solutions to legal issues.  Provides solution-based advice and counsel. Assists in structuring, negotiating and implementing commercial transactions, negotiating various agreements and commercial contracts with vendors and other commercial parties.  Protects the organization’s rights in contract negotiations, settlements and litigation.  Ensures compliance with laws and regulations. Works with and supervises outside counsel on various legal matters as appropriate.  Assists the broader legal team in managing general commercial transactions, international law, litigation and other matters as needed. Maintains knowledge of industry, legal and regulatory developments that affect the Company and informs management as appropriate. May manage staff, assigning work, monitoring activities and evaluating performance. Adheres to and models the IDEXX Purpose & Guiding Principles. EDUCATION: Juris Doctor (JD) required. REQUIRED SKILLS AND ABILITIES: Expertise within related legal specialty area. Self-starter, with ability to work independently, initiate and coordinate projects and meet deadlines within a changing, fast-paced environment. Excellent problem-solving skills, sound judgment and strong interpersonal, presentation and communication skills. Pays close attention to detail, handles confidential information with discretion and possesses a “can do” attitude. Strategic-thinker, goal- and team-orientated, able to handle difficult issues in a professional, assertive and proactive manner and history of developing cross-functional relationships with all levels of an organization. Practical, business-oriented approach to problem-solving, tempered by an appreciation of legal complexity and risk. Leadership skills if managing people. PHYSICAL DEMANDS: Extensive sitting, phone and computer use. Some travel may be required. WORK ENVIRONMENT: General office environment. Normal office noise level, with occasional moderate noise. LEVELING GUIDE: 3-5+ years of relevant experience within a law firm or in-house legal department. Developing expertise within a specialty area. Assigned legal projects of limited complexity.","Performs wide range of legal activities to support the operation, growth and development of the Company. Provides legal advice and counsel to legal and business team members. Works with business and technical teams on a day-to-day basis to identify, analyze and propose solutions to legal issues. Provides solution-based advice and counsel. Assists in structuring, negotiating and implementing commercial transactions, negotiating various agreements and commercial contracts with vendors and other commercial parties. Works with and supervises outside counsel on various legal matters as appropriate. Assists the broader legal team in managing general commercial transactions, international law, litigation and other matters as needed."
R&D PCR Assay Development Scientist (Evergreen) (Open),Regular,39 days ago,US,Scientist II,Expert Contributor,0,"PRIMARY DUTIES AND RESPONSIBILITIES: Prepares materials, performs experiments, gathers data, carries out analysis and reaches conclusions. May also design experiments. Documents experiments and other lab or production activities. Prepares reports and summaries. Presents results and conclusions. Maintains appropriate records. Participates on and may manage teams, planning and organizing team activities. Orders and maintains equipment and work area. Collaborates and communicates with colleagues and others in related areas to provide work support, exchange information and ensure efficient processes. May produce and/or test reagents and final products and perform other production-related activities. Maintains knowledge of products and procedures, developments in the field and industry and regulatory environment. Adheres to appropriate procedures and regulatory requirements. May participate in conferences, webinars and seminars to continue to develop knowledge base. If working in an ISO 17025 accredited laboratory will follow the Water Laboratory Quality Manual and all associated documents. EDUCATION: Bachelors degree or equivalent combination of education and experience required. REQUIRED SKILLS AND ABILITIES: Specific technical skills related to the applicable scientific specialty. Laboratory bench and instrumentation skills. Analytical and problem solving skills. Strong communication skills, both verbal and written. Ability to work independently and cooperatively as part of a team. Organizational skills and ability to plan work. Takes initiative and is accountable (shows ownership); focuses on task at hand; detail oriented. Adaptable. Ability to work well under pressure and handle the stress of deadlines. PHYSICAL DEMANDS: Extensive sitting, standing and computer use. Extend and reach with hands and arms and use hands and fingers. Occasionally required to climb, balance, bend, stoop, kneel or crouch. May be required to lift, move and carry up to 50 pounds. Some travel may be required. WORK ENVIRONMENT: Laboratory setting with varying levels of noise and exposure to various potential chemical and biological hazards. Compliance with approved laboratory practices is required. LEVELING GUIDE: Requires more detailed knowledge and experience. Occasionally contributes to process improvements. Works on problems of moderately complex scope where analysis of situation or data requires evaluation of variety of factors. Exercises judgment within procedures and practices which may lack some definition to determine appropriate action. Works on a monthly or quarterly timeframe with limited supervision. Multi experiment approach. Works autonomously. Helps develop improvements to processes and procedures. Encourages unity rather than “us vs. them” thinking. Welcomes and acknowledges the ideas and input of others. Models collaboration across the organization. Shares information and updates with others as needed. Is clear and thorough in reports, documentation, and other written information. Articulates messages in a way that is broadly understandable. Presents to larger audience or review board. Applies expertise in ways that are unique or innovative. Is open to and builds upon new ideas and solutions offered by others and encourages diverse thinking. Decisively makes high-quality decisions. Is respected by others for consistently displaying sound judgment. Considers various inputs, criteria, and trade-offs to arrive at effective decisions and recommendations. Uses good judgment about whether to act independently or to escalate an issue. Pushes self and helps other achieve results. Shows determination in the face of obstacles and setbacks. Sets high standards for own performance. Shows consistency between words and actions. Maintains high standards of integrity and professional codes of conduct and cultivates in others. Focuses efforts on both processes and results. Modifies own work activities and methods to eliminate wasted effort and inefficiencies. Has a knack for identifying and seizing opportunities for synergy and integration. Creates a realistic time line with steps outlined in the right sequence. Anticipates and minimizes bottlenecks or delays and develops excellent contingency plans. Makes implementation plans that utilizes allocated resources precisely. Seamlessly adapts to changing needs, conditions, priorities, or opportunities. Monitors how well approach is working to see if change is needed and selects the best-fit approach. Strong knowledge of a broader scale of IDEXX processes, protocols and resources. Strong technical understanding. Recognizes broader scale bigger picture. Can explain specific scientific procedures clearly. Knows how own work fits into overall process. Teaches others. Up-to-date on current literature on role. Accountable and responsible with in-depth knowledge of processes. May be mentoring others or have direct reports. Can independently present to a wider audience. Fluent and organized in lab setting. May bring in and evaluate new instrumentation. Up-to-date on latest techniques in role. Expert user of IDEXX instrumentation (specific to functional area). Recognizes areas for improvement in current/ proposed processes and plans validation of improvements. Regularly teaches others. Contributes to design and execution of complex multifactorial experiments, reagent manufacturing protocols or equipment/process validations to meet a stated goal. Begins to coach and mentor others with experiment design/statistical analysis/predictive modeling. Developing the ability to balance priorities among multiple projects. Finds ideas and runs with them. Can be a principal investigator on experiments, reagent transfers, scale-ups or investigations. Strong analytics, data interpretation and documentation. Evaluates data and interprets to suggest new approaches Analyzes complex data sets and knows when to troubleshoot. Recognizes failure modes/something is wrong. Creates Design History Record or New Product Transfer documentation.","Performs a variety of scientific activities to support the development, maintenance, improvement and understanding of our products and reagent production processes.  Participates on a technically-focused team as an approach to define technical solutions contributing work requiring the consistent exercise of discretion and judgment. Executes experiments and/or follows standard protocols at the laboratory bench to inform decisions or recommendations. Uses advanced knowledge to analyze, interpret or make deductions from varying facts or circumstances. Prepares solutions and reagents. Communicates and presents to colleagues. May specialize in New Product Development, Research, Reagent Manufacture, Process Development, Product Support or Systems. Degree of complexity and autonomy is dependent on level of experience."
Transportation Network Planner (Open),Regular,20 days ago,GB,Labs Transportation Associate Sr III,Advanced Contributor,1,"PRIMARY DUTIES AND RESPONSIBILITIES: May be responsible for any or all of the following: Accepts orders for supplies and sample pickups, and assigns to the appropriate driving route Picks up samples and delivers supplies to clients Picks and packs inventory requests for internal and external customers; verifies orders to ensure 100% accuracy Assures inventory levels are accurate; performs cycle counts as required Creates/maintains data warehouse for driver contacts, contract courier contacts and routing information Acts as a liaison for internal and external transportation issue escalation and resolution Acts as point of contact for dispatch, customers, and vendors Maintains clean and orderly warehouse and inventory handling area; maintains a safe working environment and utilizes applicable safety equipment May lead individuals in daily data entry, customer service and shipping duties EDUCATION: High School degree or equivalent combination of education and experience required. REQUIRED SKILLS AND ABILITIES: Ability to communicate in a clear and professional manner Ability to prioritize and multi-task in a fast-paced environment Ability to work well with others Attention to detail For shipping work: Warehouse and inventory experience is required; experience with forklift operation is required For dispatch work: Customer service experience is required; dispatching and transportation experience is required For delivery work: Must be familiar with, and meet the minimum driving record requirements as outlined in the IDEXX Safe Driver Program; ability to read maps and maintain a route book are required PHYSICAL DEMANDS: For shipping work: Normal warehouse environment; use of protective equipment and/or clothing may be required; ability to lift up to 60 pounds, repeatedly, required For delivery work: Extensive vehicle travel required WORK ENVIRONMENT: This position involves a potential for exposure to agents known to cause zoonotic disease in humans and use of potentially hazardous chemicals as defined by the OSHA Hazard Communication Standard (29 CFR). A complete list of such chemicals is available from the departmental supervisor. LEVELING GUIDE: Has limited work experience. Possesses critical thinking, evaluation and judgement skills and/or specialized professional knowledge acquired through college degree or equivalent work experience. Works on problems of lesser complexity involving more limited range of variables. Decisions not guided by established technical process but by thinking of various solutions and deciding on best solution. Works independently on problems of limited scope. Receives instruction, guidance and direction from others on more complex assignments.","Performs a variety of physical, clerical and customer support tasks associated with shipment and reception of laboratory supplies, samples and products."
Field Sales Veterinary Diagnostics Santa Cruz CA (Open),Regular,141 days ago,US,Veterinary Diagnostic Consultant II,Expert Contributor,1,"PRIMARY DUTIES AND RESPONSIBILITIES: Increase the diagnostic revenue year over year in a specific territory Translate customer needs into diagnostic solutions. Sell diagnostic equipment, tests and services to customers. Increase utilization of in-house diagnostic tests & assays, instrument consumables and reference laboratory profiles & advanced tests for territory customer base. Achieve quarterly and annual revenue and growth goals through new account acquisition and existing account development. Utilize IDEXX specialists to assist with acquiring new business as appropriate Educate and train veterinary clinic staff on products, services & marketing initiatives, including elevating issues to customer service when appropriate. Develop and grow partnerships with veterinary practice staff. Represent IDEXX mission, values and principles in all dealings with customers and markets. Present IDEXX values to customers in a professional manner; including understanding the industry, veterinary practice, customers, technology, operations, and processes. Complete all sales administration, including completing all Beacon requirements & territory management activities. Attend trade shows and other educational events. Achieve and maintain medical & technical knowledge and verbal fluency of industry and IDEXX products and services. Manage territory for optimal account coverage, including quality account planning. Define and verify customer needs and expectations. Communicate customer needs/issues to marketing organization and business unit manager, including recommendations of modifying service levels to current accounts. Communicate competitive issues to marketing organization and business unit manager. Partner, coordinate and assist laboratory operations to facilitate/handle customer questions and/or service issues. Manage IDEXX expenses and resources in line with company guidelines and directives. Perform other duties as assigned. EDUCATION: Bachelors degree or equivalent combination of education and experience required. REQUIRED SKILLS AND ABILITIES: Demonstrated strong sales and closing skills. Documented track record of success in achieving sales goals. Strong communication skills with the ability to influence and negotiate with customers, co-workers and peers. Demonstrated ability to develop, grow and manage customer relationships. Customer Relationship Management skills a plus Ability to understand customer needs and develop customer specific solutions. Utilizes creativity in problem solution, works easily with team partners to solve customer needs. Must be professionally mature, and able to adapt to independent and team-oriented environment. Must possess a passion for business with the drive to achieve results. Integrity, keeping commitments to colleagues, customers and the company. Able to demonstrate modeling and authentic support for IDEXX mission, values and principles. Solid computer skills and ability to utilize sales information management databases. Strong interpersonal skills – ability to build strong customer relationships, and build outstanding relationships with customers & colleagues. Strong collaboration & teamwork skills. Detailed and organized with the ability to multi-task. Solid analytical skills with the ability to analyze and understand customer sales data. Knowledge of veterinary industry and/or veterinary diagnostics preferred. Must possess a valid driver’s license. PHYSICAL DEMANDS: Overnight travel Some weekend work Extensive car travel Ability to lift up to 60 pounds WORK ENVIRONMENT: Exposure to veterinary clinics LEVELING GUIDE: Highly skilled with solid proficiency in sales and customer relationships. Record success of sales and building customer loyalty. Varied, extensive knowledge of IDEXX products and services and/or combination of commensurate sales experience external to IDEXX. Grows, manages and maintains strong customer relationships. Requires more detailed knowledge and experience. Occasionally contributes to process improvements. Solves moderately complex problems; takes a new perspective using existing solutions. Works independently; receives minimal guidance. Typically 5-8 years of relevant field sales experience required. Scientific medical and/or technical background, training, and/or experience required.","Create relationships with customers through knowledgeable interactions, business discussions and educational interactions. Acquire new business in existing customer base and acquire new customers leading to an overall increase in the territory revenue. Help build customer loyalty through the effective use of IDEXX products & services including in-house and reference laboratory diagnostic solutions in the customer’s practice. The selling focus will be on a customer centric approach to help practices grow their diagnostic revenue with IDEXX as a high value partner."
Senior Full Stack Engineer (Open),Regular,235 days ago,NZ,Application Developer Sr I,Expert Contributor,1,"PRIMARY DUTIES AND RESPONSIBILITIES: Designs, codes, tests, debugs and documents programs based on technical configurations developed by analysts and project teams. Estimates and tracks time required to complete work, for project budgeting and financial tracking. Develops program designs to meet technical configurations, ensuring that resulting systems will operate efficiently and reliably. Understands business function supported by the application to encompass within design framework. Ensures design integrates with other related systems. Codes programs using various programming languages as appropriate. Tests and debugs programs to finalize and ensure smooth operation. Documents program design, coding and other details to guide others in application development, use and maintenance. Supports, updates and maintains existing systems in response to business needs, system problems or other factors. Coordinates with project teams to design, code, test and document system changes. Coordinates with project team members to define application requirements. Identifies business needs, assesses available technologies and develops and presents solutions. Provides high level of customer service, partners with end users in the resolution of problems or in deployment of new applications. May design system architectures. EDUCATION: Bachelors degree or equivalent combination of education and experience required. REQUIRED SKILLS AND ABILITIES: Familiarity with relational databases and Structured Query Language (SQL). Ability to leverage technology background and understanding of latest technologies to apply to development work. Understanding of procedural and object oriented design. Experience with Advanced Business Applications Programming (ABAP), Java, Visual Basic and/or other object oriented and procedural programming languages as appropriate to specialty. Familiarity with applications development process. Familiarity with software development methodologies as required by associated development team. General business knowledge required. Excellent problem solving skills required. Excellent customer service and business relationship-building skills required. Project management skills required. Microsoft Desktop tools Ability to work independently and in teams. Fluency in the English language. Strong communication skills, both verbal and written, including ability to translate technical subject matter to non-technical audiences (both as a speaker and listener). PHYSICAL DEMANDS: Extensive sitting, phone and computer use. Some travel may be required. WORK ENVIRONMENT: General office environment. Normal office noise level, with occasional moderate noise. LEVELING GUIDE: Takes features from requirement to solution. Emphasis on designing solutions. Higher-level analytical skills in taking business requirements and creating design solutions. Analyzes different design approaches and makes appropriate recommendations. Begins mentoring other developers. Familiarity with higher-level development concepts, such as threading and transactional controls. Demonstrated experience with design patterns. Possesses functional knowledge of businesses supported. Experience implementing several industry standard development frameworks. Demonstrated high-level knowledge of a single technical area. Knowledge in other areas at a lesser level. Works with developers on other software teams to implement cross-product software solutions. Typically 5+ years’ related experience.","Builds computer applications to meet business informational needs and requirements. Designs, codes, tests, debugs and documents programs based on technical configurations developed by analysts and project teams. Supports and troubleshoots existing applications. Evaluates and analyzes business requirements for new systems and system changes."
Field Support Representative (12 month Contract) (Open),Regular (Fixed Term),68 days ago,AU,Field Support Representative I,Advanced Contributor,1,"PRIMARY DUTIES AND RESPONSIBILITIES: Provides on-site customer support related to Company product or service installation, training and/or troubleshooting according to established policies and procedures and applicable regulatory guidelines. Installs equipment at customer locations. Assembles components and tests operation. Adjusts equipment as needed, coordinating with in-house resources and others. Trains customers in the use of Company products, equipment and services. Provides training in a variety of formats, as well as documentation and other materials. Ensures customer satisfaction in the use and capability of Company products and services. Troubleshoots customer problems and issues with Company products and services. Diagnoses and fixes problems with assistance of in-house technical resources and others as needed. Plans and implements strategies for addressing more complex issues as needed. Provides support for new customer installations and go-live events, responding to any issues that arise and coordinating resolution to ensure smooth customer experience. Communicates customer needs for additional products and services to sales team, research & development and others. Coordinates other teams and additional resources to address customer issues as needed. Ensures ongoing customer satisfaction. Researches customers prior to site visits to obtain information and insight to anticipate issues and enhance the overall customer experience. Details benefits of additional Company products and services as appropriate. Documents customer visits and interactions. EDUCATION: High School degree or equivalent combination of education and experience required. Associates degree or equivalent preferred. REQUIRED SKILLS AND ABILITIES: Technical skills to troubleshoot and resolve problems with Company products and services. Communication skills, both written and verbal, including presentation skills. Coordination and project management ability. Relationship management skills, including ability to resolve difficult customer situations. Ability to train customers on the use of technical equipment and effective process and workflow. Ability to address and diffuse difficult customer situations Ability to adapt to varying customer situations and through the use of effective listening skills, understand and respond to the unique needs of each customer. Ability to work collaboratively with internal departments to solve problems and address customer needs Good problem solving and research skills. Strong organizational, time management and prioritization skills. PC skills. PHYSICAL DEMANDS: Regularly required to stand and sit for extended periods; extend and reach with hands and arms; and use hands and fingers to handle, squeeze, twist and manipulate objects, controls and tools. Occasionally required to climb, balance, bend, stoop, kneel or crouch. May be required to lift, move and carry up to 60 pounds. Specific vision abilities required include close vision, color vision, depth perception, and the ability to adjust focus. Hearing acuity sufficient to effectively communicate with customers and Employees via telephone and in person. Ability to communicate verbally on phone and in person. Fluency in the English language. Weekend hours and weekday overtime may be required. Extensive overnight travel required. Ability to travel and work internationally. Ability to drive car for extended periods. WORK ENVIRONMENT: Customer locations. Busy veterinary clinic environment. Work around and/or have contact with animals. General office environment or light laboratory, with some areas to examine animals and run laboratory tests. Normal office noise level, with occasional moderate noise. LEVELING GUIDE: Has developed expertise in a range of processes and procedures, typically through combination of job-related training and considerable on-the-job experience. Has developed a specialized level of skill to perform assigned tasks. Work typically involves technical skills and/or administrative duties, including a variety of atypical assignments. Works autonomously within established procedures and practices.","Provides on-site customer and/or technical support related to Company product or service installation, training and/or troubleshooting. Installs products and services at customer locations, trains customers in their use and investigates and resolves any technical or other problems. Coordinates with Company technical and other resources to address customer issues. Supports quality management system and other compliance requirements."
Quality Specialist im Labor (m/w/d) (Open),Regular (Fixed Term),36 days ago,DE,Quality Specialist I,Advanced Contributor,1,"PRIMARY DUTIES AND RESPONSIBILITIES: May perform one or more of the following: Gathers, analyzes and reports on data. Identifies, evaluates and implements system, process or procedure improvement opportunities. Analyzes, develops and implements process changes to provide improvement in work flow, operational procedures and other related business areas. Participates in projects to implement initiatives; identifies project opportunities; generates ideas and solutions. Communicates with related areas to coordinate work. May lead work activities of others, coordinating daily activities and providing training, coaching and guidance. EDUCATION: Bachelors degree or equivalent combination of education and experience        required. REQUIRED SKILLS AND ABILITIES: Data gathering and analytical ability. Process improvement skills Excellent interpersonal skills. Project management ability. Strong verbal and written communication skills. Ability to work both individually and as a team player. PC skills, including Microsoft Office. PHYSICAL DEMANDS: Extensive sitting, phone and computer use. Capable of standing continuously for up to 2 hours. Extend and reach with hands and arms and use hands and fingers. Occasionally required to climb, balance, bend, stoop, kneel or crouch. May be required to lift, move and carry up to 50        pounds. Specific vision abilities required include close vision, color vision, depth perception, and the ability to adjust focus. Hearing acuity sufficient to effectively communicate with customers and Employees via telephone and in person. Ability to communicate verbally on phone and in person. Fluency in the English language. Extended hours may be required. Some travel required. WORK ENVIRONMENT: General office environment or light laboratory/industrial, with some areas to assemble equipment, decontaminate potential biohazards and bench repair instruments. Normal office noise level, with occasional moderate noise. LEVELING GUIDE: Critical thinking, evaluation and judgement skills are        evolving. Can bring additional perspective and depth to thought process. Building analytical skills and ability to think more broadly. Developing ability to incorporate multiple viewpoints. Complexity in low to moderate range. Able to think of and consider somewhat wider range of solutions and options to address problems. Typically involved in assignments of shorter duration involving fewer people and resources. Works independently on problems of limited to moderate scope. Receives supervision as needed as experience builds.","Performs a variety of duties involving critical thinking, analysis, evaluation and judgment in support of department activities."
Veterinary Diagnostic Consultant (Milano Area) (Open),Regular (Fixed Term),22 days ago,IT,Veterinary Diagnostic Consultant Assoc,Advanced Contributor,1,"PRIMARY DUTIES AND RESPONSIBILITIES: Increase the diagnostic revenue year over year in a specific territory Translate customer needs into diagnostic solutions. Sell diagnostic equipment, tests and services to customers. Increase utilization of in-house diagnostic tests & assays, instrument consumables and reference laboratory profiles & advanced tests for territory customer base. Achieve quarterly and annual revenue and growth goals through new account acquisition and existing account development. Utilize IDEXX specialists to assist with acquiring new business as appropriate Educate and train veterinary clinic staff on products, services & marketing initiatives, including elevating issues to customer service when appropriate. Develop and grow partnerships with veterinary practice staff. Represent IDEXX mission, values and principles in all dealings with customers and markets. Present IDEXX values to customers in a professional manner; including understanding the industry, veterinary practice, customers, technology, operations, and processes. Complete all sales administration, including completing all Beacon requirements & territory management activities. Attend trade shows and other educational events. Achieve and maintain medical & technical knowledge and verbal fluency of industry and IDEXX products and services. Manage territory for optimal account coverage, including quality account planning. Define and verify customer needs and expectations. Communicate customer needs/issues to marketing organization and business unit manager, including recommendations of modifying service levels to current accounts. Communicate competitive issues to marketing organization and business unit manager. Partner, coordinate and assist laboratory operations to facilitate/handle customer questions and/or service issues. Manage IDEXX expenses and resources in line with company guidelines and directives. EDUCATION: Bachelors degree or equivalent combination of education and experience required. REQUIRED SKILLS AND ABILITIES: Demonstrated strong sales and closing skills. Documented track record of success in achieving sales goals. Strong communication skills with the ability to influence and negotiate with customers, co-workers and peers. Demonstrated ability to develop, grow and manage customer relationships. Customer Relationship Management skills a plus Ability to understand customer needs and develop customer specific solutions. Utilizes creativity in problem solution, works easily with team partners to solve customer needs. Must be professionally mature, and able to adapt to independent and team-oriented environment. Must possess a passion for business with the drive to achieve results. Integrity, keeping commitments to colleagues, customers and the company. Able to demonstrate modeling and authentic support for IDEXX mission, values and principles. Solid computer skills and ability to utilize sales information management databases. Strong interpersonal skills – ability to build strong customer relationships, and build outstanding relationships with customers & colleagues. Strong collaboration & teamwork skills. Detailed and organized with the ability to multi-task. Solid analytical skills with the ability to analyze and understand customer sales data. Knowledge of veterinary industry and/or veterinary diagnostics preferred. Must possess a valid driver’s license. PHYSICAL DEMANDS: Overnight travel Some weekend work Extensive car travel Ability to lift up to 60 pounds WORK ENVIRONMENT: Exposure to veterinary clinics LEVELING GUIDE: Requires basic and developing sales and customer relationship skills. Requires introductory knowledge of IDEXX products and services. Builds and develops strong customer relationships. Critical thinking, evaluation and judgement skills are evolving. Can bring additional perspective and depth to thought process. Building analytical skills and ability to think more broadly. Developing ability to incorporate multiple viewpoints. Complexity in low to moderate range. Able to think of and consider somewhat wider range of solutions and options to address problems. Typically involved in assignments of shorter duration involving fewer people and resources. Works independently on problems of limited to moderate scope. Receives supervision as needed as experience builds. Typically 1 to 3 years of inside sales experience. Relevant sales experience a plus. Scientific medical and/or technical background, training, and/or experience a plus. Experience in a Veterinary Clinic a plus.","Create relationships with customers through knowledgeable interactions, business discussions and educational interactions. Acquire new business in existing customer base and acquire new customers leading to an overall increase in the territory revenue. Help build customer loyalty through the effective use of IDEXX products & services including in-house and reference laboratory diagnostic solutions in the customer’s practice. The selling focus will be on a customer centric approach to help practices grow their diagnostic revenue with IDEXX as a high value partner."
